Juego Número,Estado,Ganancias,Pérdidas
232,PERDEDOR,0,100
233,PERDEDOR,120,110
234,GANADOR,530,91
235,PERDEDOR,220,133
236,PERDEDOR,234,162
237,PERDEDOR,386,103
238,PERDEDOR,138,105
239,PERDEDOR,464,179
240,PERDEDOR,190,137
241,PERDEDOR,60,136
242,PERDEDOR,184,133
243,PERDEDOR,0,100
244,PERDEDOR,466,118
245,PERDEDOR,252,158
246,GANADOR,524,80
247,PERDEDOR,170,142
248,PERDEDOR,366,172
249,GANADOR,542,37
250,PERDEDOR,338,119
251,PERDEDOR,20,100
252,PERDEDOR,230,142
253,PERDEDOR,20,100
254,PERDEDOR,104,140
255,PERDEDOR,0,100
256,PERDEDOR,22,118
257,PERDEDOR,36,120
258,PERDEDOR,0,100
259,PERDEDOR,72,115
260,PERDEDOR,62,103
261,PERDEDOR,416,111
262,PERDEDOR,438,102
263,PERDEDOR,242,176
264,PERDEDOR,52,103
265,GANADOR,650,81
266,PERDEDOR,44,108
267,PERDEDOR,0,100
268,PERDEDOR,40,118
269,PERDEDOR,142,127
270,PERDEDOR,0,100
271,PERDEDOR,146,139
272,GANADOR,594,71
273,PERDEDOR,98,127
274,PERDEDOR,76,105
275,PERDEDOR,116,186
276,PERDEDOR,80,130
277,PERDEDOR,16,112
278,PERDEDOR,112,145
279,PERDEDOR,40,107
280,PERDEDOR,414,161
281,PERDEDOR,216,138
282,PERDEDOR,212,146
283,PERDEDOR,16,105
284,PERDEDOR,96,171
285,PERDEDOR,356,124
286,PERDEDOR,82,170
287,PERDEDOR,10,106
288,PERDEDOR,190,135
289,PERDEDOR,270,112
290,PERDEDOR,14,109
291,GANADOR,512,88
292,GANADOR,576,83
293,GANADOR,630,0
294,PERDEDOR,340,109
295,PERDEDOR,36,108
296,PERDEDOR,378,119
297,PERDEDOR,42,141
298,GANADOR,548,38
299,PERDEDOR,56,111
300,GANADOR,552,0
301,PERDEDOR,378,163
302,GANADOR,512,38
303,PERDEDOR,168,136
304,PERDEDOR,4,103
305,PERDEDOR,64,117
306,PERDEDOR,0,100
307,PERDEDOR,26,115
308,PERDEDOR,412,167
309,PERDEDOR,30,103
310,GANADOR,506,0
311,PERDEDOR,46,124
312,PERDEDOR,10,100
313,PERDEDOR,62,106
314,PERDEDOR,440,113
315,PERDEDOR,448,116
316,PERDEDOR,24,105
317,GANADOR,562,10
318,PERDEDOR,384,167
319,PERDEDOR,22,104
320,PERDEDOR,138,177
321,GANADOR,550,0
322,PERDEDOR,204,157
323,GANADOR,512,57
324,GANADOR,650,0
325,PERDEDOR,40,105
326,GANADOR,586,22
327,PERDEDOR,238,123
328,GANADOR,526,81
329,PERDEDOR,12,105
330,PERDEDOR,210,107
331,GANADOR,544,96
332,PERDEDOR,18,114
333,PERDEDOR,294,135
334,PERDEDOR,26,115
335,PERDEDOR,174,188
336,GANADOR,504,73
337,PERDEDOR,230,155
338,PERDEDOR,334,151
339,PERDEDOR,80,157
340,GANADOR,536,18
341,PERDEDOR,164,164
342,PERDEDOR,52,147
343,PERDEDOR,462,175
344,PERDEDOR,272,151
345,PERDEDOR,52,112
346,PERDEDOR,44,106
347,PERDEDOR,80,143
348,GANADOR,528,38
349,PERDEDOR,152,182
350,PERDEDOR,268,139
351,GANADOR,590,79
352,PERDEDOR,182,148
353,PERDEDOR,8,105
354,GANADOR,642,69
355,GANADOR,580,82
356,PERDEDOR,34,118
357,PERDEDOR,462,140
358,PERDEDOR,354,104
359,PERDEDOR,68,148
360,PERDEDOR,390,142
361,GANADOR,514,0
362,PERDEDOR,30,109
363,PERDEDOR,24,107
364,PERDEDOR,170,118
365,PERDEDOR,58,115
366,PERDEDOR,402,126
367,PERDEDOR,194,145
368,PERDEDOR,296,109
369,PERDEDOR,0,100
370,GANADOR,510,9
371,GANADOR,576,50
372,PERDEDOR,126,108
373,PERDEDOR,272,103
374,PERDEDOR,146,111
375,PERDEDOR,324,121
376,PERDEDOR,0,100
377,PERDEDOR,140,109
378,PERDEDOR,360,134
379,GANADOR,532,36
380,PERDEDOR,30,103
381,PERDEDOR,494,137
382,PERDEDOR,14,106
383,GANADOR,588,0
384,PERDEDOR,406,129
385,PERDEDOR,6,104
386,GANADOR,520,50
387,PERDEDOR,38,109
388,PERDEDOR,166,121
389,PERDEDOR,38,107
390,PERDEDOR,0,100
391,PERDEDOR,56,128
392,PERDEDOR,68,148
393,PERDEDOR,28,112
394,PERDEDOR,190,112
395,PERDEDOR,320,103
396,PERDEDOR,48,143
397,GANADOR,566,40
398,GANADOR,556,16
399,PERDEDOR,158,151
400,PERDEDOR,2,102
401,PERDEDOR,52,148
402,PERDEDOR,334,133
403,PERDEDOR,354,173
404,GANADOR,688,0
405,GANADOR,544,91
406,PERDEDOR,54,122
407,GANADOR,658,44
408,GANADOR,596,49
409,PERDEDOR,0,100
410,PERDEDOR,60,120
411,PERDEDOR,332,112
